titulo,link,data,resumo
EDITAL N° 42/CAMDP/IFC/2024 de 03/04/2024 – Área do conhecimento: Sociologia […],https://editais.ifc.edu.br/2024/04/03/edital-n-42-camdp-ifc-2024-de-03-04-2024-area-do-conhecimento-sociologia-araquari/,03/04/2024,EDITAL N° 42/CAMDP/IFC/2024 de 03/04/2024 – Área do conhecimento: Sociologia - […]
EDITAL N° 30/CAMDP/IFC/2024 de 07/03/2024 – Área do conhecimento: […],https://editais.ifc.edu.br/2024/03/10/edital-n-30-camdp-ifc-2024-de-07-03-2024-area-do-conhecimento-informatica-banco-de-dados-araquari/,10/03/2024,EDITAL N° 30/CAMDP/IFC/2024 de 07/03/2024 – Área do conhecimento: Informática/Banco de […]
EDITAL N° 17/CAMDP/IFC/2024 de 20/02/2024 – Área do conhecimento: Química […],https://editais.ifc.edu.br/2024/02/21/edital-n-17-camdp-ifc-2024-de-20-02-2024-area-do-conhecimento-quimica-araquari/,21/02/2024,EDITAL N° 17/CAMDP/IFC/2024 de 20/02/2024 – Área do conhecimento: Química - […]
EDITAL DEPE/ARAQ Nº 01/2024 PROJETOS DE MONITORIA,https://editais.ifc.edu.br/2024/02/19/edital-depe-araq-01-2024-projetos-de-monitoria/,19/02/2024,"O Diretor-Geral do Instituto Federal Catarinense (IFC) - Campus Araquari, professor Fernando […]"
EDITAL N° 11/CAMDP/IFC/2024 de 30/01/2024 – Área do conhecimento: Informática: […],https://editais.ifc.edu.br/2024/02/01/edital-n-11-camdp-ifc-2024-de-30-01-2024-area-do-conhecimento-informatica-banco-de-dados-araquari/,01/02/2024,EDITAL N° 11/CAMDP/IFC/2024 de 30/01/2024 – Área do conhecimento: Informática: Banco de […]
EDITAL N° 003/CAMSDP/IFC/2024 de 09/01/2024 – Área do conhecimento: […],https://editais.ifc.edu.br/2024/01/12/edital-n-003-camsdp-ifc-2024-de-09-01-2024-area-do-conhecimento-sociologia-araquari/,12/01/2024,EDITAL N° 003/CAMSDP/IFC/2024 de 09/01/2024 - Área do conhecimento: Sociologia – […]
EDITAL Nº 086/CAMSDP/IFC/2023 – PROCESSO SELETIVO SIMPLIFICADO,https://editais.ifc.edu.br/2023/12/21/edital-no-086-camsdp-ifc-2023-processo-seletivo-simplificado/,21/12/2023,"EDITAL Nº 086/CAMSDP/IFC/2023, de 20 de dezembro de 2023
PROCESSO SELETIVO […]"
"EDITAL N° 086/CAMSDP/IFC/2023, de 20/12/2023 – Área do conhecimento: […]",https://editais.ifc.edu.br/2023/12/19/edital-n-086-camsdp-ifc-2023-de-20-12-2023-area-do-conhecimento-informatica-banco-de-dados-araquari/,19/12/2023,"EDITAL N° 086/CAMSDP/IFC/2023, de 20/12/2023 – Área do conhecimento: Informática - Banco […]"
EDITAL Nº 24/2023 – GAB/ARAQ – Demanda permanente de projetos de pesquisa […],https://editais.ifc.edu.br/2023/11/10/edital-no-24-2023-gab-araq-demanda-permanente-de-projetos-de-pesquisa-e-inovacao-do-ifc-campus-araquari/,10/11/2023,"Demanda permanente de projetos de pesquisa e inovação do IFC Campus Araquari.

Processo […]"
"EDITAL Nº 23/2023 – GAB/ARAQ – Seleção interna de projetos de pesquisa, […]",https://editais.ifc.edu.br/2023/11/10/edital-no-23-2023-gab-araq-selecao-interna-de-projetos-de-pesquisa-com-o-fim-de-compor-cadastro-de-reserva-para-apoio-com-bolsas-de-iniciacao-cientifica-para-execucao-em-2024/,10/11/2023,"Seleção interna de projetos de pesquisa, com o fim de compor cadastro de reserva, para […]"
EDITAL Nº 22/2023 – GAB/ARAQ Seleção interna de Projetos de Ensino  para […],https://editais.ifc.edu.br/2023/10/27/edital-no-22-2023-gab-araq-selecao-interna-de-projetos-de-ensino-para-execucao-e-posterior-distribuicao-de-bolsas-de-acordo-com-a-disponibilidade-orcamentaria-do-ano-de-2024/,27/10/2023,Seleção interna de Projetos de Ensino para execução e posterior distribuição de Bolsas […]
EDITAL Nº 21/2023 – GAB/ARAQ – Regulamento do processo eleitoral para a […],https://editais.ifc.edu.br/2023/10/16/edital-no-21-2023-gab-araq-regulamento-do-processo-eleitoral-para-a-escolha-do-coordenador-do-curso-de-medicina-veterinaria-do-instituto-federal-catarinense-campus-araquari-para-fevereir/,16/10/2023,Regulamento do processo eleitoral para a escolha do Coordenador do Curso de Medicina […]
EDITAL PPGPSA N° 03/2023 de 06 DE OUTUBRO DE 2023 – PROFESSOR VISITANTE PARA O […],https://editais.ifc.edu.br/2023/10/09/edital-ppgpsa-n-03-2023-de-06-de-outubro-de-2023-professor-visitante-para-o-mestrado-profissional-em-producao-e-sanidade-aninal-ppgpsa-2/,09/10/2023,EDITAL PPGPSA N° 03/2023 de 06 DE OUTUBRO DE 2023 – PROFESSOR VISITANTE PARA O MESTRADO […]
EDITAL PPGTA N° 02/2023 DE 06 DE OUTUBRO DE 2023 – PROFESSOR VISITANTE PARA O […],https://editais.ifc.edu.br/2023/10/09/edital-ppgta-n-02-2023-de-06-de-outubro-de-2023-professor-visitante-para-o-mestrado-profissional-em-tecnologia-e-ambiente-ppgta-2/,09/10/2023,EDITAL PPGTA N° 02/2023 DE 06 DE OUTUBRO DE 2023 – PROFESSOR VISITANTE PARA O MESTRADO […]
EDITAL Nº 20/2023 – GAB/ARAQ – Edital de escolha de representantes da […],https://editais.ifc.edu.br/2023/09/06/edital-no-20-2023-gab-araq-edital-de-escolha-de-representantes-da-sociedade-civil-para-composicao-do-concampus-araquari-mandato-2023-2025/,06/09/2023,Edital de escolha de representantes da sociedade civil para composição do Concampus […]
EDITAL Nº 19/2023 – GAB/ARAQ Escolha de membros para composição da […],https://editais.ifc.edu.br/2023/09/01/edital-no-19-2023-gab-araq-escolha-de-membros-para-composicao-da-comissao-permanente-de-pessoal-docente-cppd-do-instituto-federal-catarinense-campus-araquari-para-o-mandato-de-2023-a-2025/,01/09/2023,Escolha de membros para composição da Comissão permanente de Pessoal Docente - CPPD do […]
EDITAL Nº 18/2023 – GAB/ARAQ – Edital de Fluxo Contínuo — Apoio às Ações […],https://editais.ifc.edu.br/2023/08/24/edital-no-18-2023-gab-araq-edital-de-fluxo-continuo-apoio-as-acoes-de-extensao/,24/08/2023,EDITAL Nº 18/2023 - GAB/ARAQ - Edital de Fluxo Contínuo — Apoio às Ações de […]
"EDITAL Nº 17/2023 – GAB/ARAQ – Edital de seleção de projetos de extensão, […]",https://editais.ifc.edu.br/2023/08/24/edital-no-17-2023-gab-araq-edital-de-selecao-de-projetos-de-extensao-com-fim-de-compor-cadastro-de-reserva-para-apoio-com-bolsa-de-extensao/,24/08/2023,"EDITAL Nº 17/2023 – GAB/ARAQ – Edital de seleção de projetos de extensão, com […]"
Edital RACI/ARAQ – Homologação dos resultados das avaliações de […],https://editais.ifc.edu.br/2023/08/21/edital-raci-araq-homologacao-dos-resultados-das-avaliacoes-de-extraordinario-saber-dos-academicos-dos-cursos-superiores-do-ifc-campus-araquari-referentes-ao-2o-semestre-letivo-de-2023/,21/08/2023,Edital RACI/ARAQ - Homologação dos resultados das avaliações de extraordinário saber dos […]
Edital RACI/ARAQ – Homologação dos resultados dos pedidos de aproveitamento […],https://editais.ifc.edu.br/2023/08/21/edital-raci-araq-homologacao-dos-resultados-dos-pedidos-de-aproveitamento-de-estudos-dos-academicos-dos-cursos-de-ensino-superior-do-ifc-campus-araquari-no-2o-semestre-letivo-de-2023/,21/08/2023,Edital RACI/ARAQ - Homologação dos resultados dos pedidos de aproveitamento de estudos dos […]
EDITAL Nº 16/2023 – GAB/ARAQ – Eleição Concampus Araquari – […],https://editais.ifc.edu.br/2023/07/26/edital-no-16-2023-gab-araq-eleicao-concampus-araquari-mandato-2023-2025/,26/07/2023,"Eleição Concampus Araquari - Mandato 2023/2025

Processo eletrônico nº […]"
"EDITAL N° 056/CAMSDP/IFC/2023, de 21/07/2023 – Área do conhecimento: […]",https://editais.ifc.edu.br/2023/07/21/edital-n-056-camsdp-ifc-2023-de-21-de-julho-de-2023-area-do-conhecimento-ciencias-agricolas/,21/07/2023,"EDITAL N° 056/CAMSDP/IFC/2023, de 21 de julho de 2023 - Área do conhecimento: Ciências […]"
EDITAL Nº 15/2023 – GAB/ARAQ – Edital de seleção de bolsistas […],https://editais.ifc.edu.br/2023/07/13/edital-no-15-2023-gab-araq-edital-de-selecao-de-bolsistas-residentes-para-o-programa-de-residencia-profissional-agricola-do-ifc-campus-araquari/,13/07/2023,Edital de seleção de bolsistas residentes para o Programa de Residência Profissional […]
"EDITAL N°052/CAMSDP/IFC/2023, de 06/07/2023 – Campus: Araquari – Área de […]",https://editais.ifc.edu.br/2023/07/06/edital-n052-camsdp-ifc-2023-de-06-07-2023-campus-araquari-area-de-conhecimento-medicina-veterinaria-cirurgia/,06/07/2023,"EDITAL N°052/CAMSDP/IFC/2023, de 06/07/2023 – Campus: Araquari – Área de conhecimento: […]"
EDITAL Nº 14/2023 – GAB/ARAQ. Apoio à participação de servidores em eventos […],https://editais.ifc.edu.br/2023/06/12/edital-no-14-2023-gab-araq-apoio-a-participacao-de-servidores-em-eventos-de-capacitacao-de-curta-duracao/,12/06/2023,Apoio à participação de servidores em eventos de capacitação de curta […]
EDITAL Nº 13/2023 – GAB/ARAQ Regulamento do Processo Eleitoral para a escolha do […],https://editais.ifc.edu.br/2023/05/10/edital-no-13-2023-gab-araq-regulamento-do-processo-eleitoral-para-a-escolha-do-coordenador-do-curso-de-licenciatura-em-quimica-do-instituto-federal-catarinense-campus-araquari/,10/05/2023,EDITAL Nº 13/2023 – GAB/ARAQ Regulamento do Processo Eleitoral para a escolha do […]
"EDITAL N° 037/CAMSDP/IFC/2023, de 20/04/2023, campus Araquari, área Medicina […]",https://editais.ifc.edu.br/2023/04/20/edital-n-037-camsdp-ifc-2023-de-20-04-2023-campus-araquari-area-medicina-veterinaria-alimentos/,20/04/2023,"EDITAL N° 037/CAMSDP/IFC/2023, de 20/04/2023, campus Araquari, área Medicina Veterinária - […]"
HOMOLOGAÇÃO RACI/ARA – Resultados das avaliações de extraordinário saber […],https://editais.ifc.edu.br/2023/04/18/homologacao-raci-ara-resultados-das-avaliacoes-de-extraordinario-saber-dos-academicos-dos-cursos-superiores-do-ifc-campus-araquari-referentes-ao-1o-semestre-letivo-de-2023/,18/04/2023,HOMOLOGAÇÃO RACI/ARA - Resultados das avaliações de extraordinário saber dos acadêmicos […]
EDITAL Nº 12/2023 – GAB/ARAQ Regulamento do Processo Eleitoral para a escolha do […],https://editais.ifc.edu.br/2023/04/17/edital-no-12-2023-gab-araq-regulamento-do-processo-eleitoral-para-a-escolha-do-coordenador-do-curso-de-bacharelado-em-sistemas-de-informacao-do-instituto-federal-catarinense-campus-araquar/,17/04/2023,Regulamento do Processo Eleitoral para a escolha do coordenador do curso de Bacharelado em […]
"EDITAL N° 035/CAMSDP/IFC/2023, de 05/04/2023, campus Araquari, área: Medicina […]",https://editais.ifc.edu.br/2023/04/05/edital-n-035-camsdp-ifc-2023-de-05-04-2023-campus-araquari-area-medicina-veterinaria-producao-animal/,05/04/2023,"EDITAL N° 035/CAMSDP/IFC/2023, de 05/04/2023, campus Araquari, área: Medicina Veterinária […]"
EDITAL Nº 11/2023 – GAB/ARAQ Processo eleitoral para a escolha do coordenador do […],https://editais.ifc.edu.br/2023/03/30/edital-no-11-2023-gab-araq-processo-eleitoral-para-a-escolha-do-coordenador-do-curso-tecnico-em-informatica-para-internet-do-instituto-federal-catarinense-campus-araquari/,30/03/2023,Processo eleitoral para a escolha do coordenador do curso Técnico em Informática para […]
EDITAL Nº 10/2023 – GAB/ARAQ – Processo eleitoral para a escolha de […],https://editais.ifc.edu.br/2023/03/27/edital-no-10-2023-gab-araq-processo-eleitoral-para-a-escolha-de-coordenador-do-curso-tecnico-em-agropecuaria-integrado-ao-ensino-medio-do-ifc-campus-araquari-para-o-bienio-2023-2025/,27/03/2023,Processo eleitoral para a escolha de Coordenador do Curso Técnico em Agropecuária Integrado […]
EDITAL Nº 09/2023 – GAB/ARAQ – Processo Seletivo para as Vagas Não Ocupadas […],https://editais.ifc.edu.br/2023/03/13/edital-no-09-2023-gab-araq-processo-seletivo-para-as-vagas-nao-ocupadas-dos-cursos-superiores-de-graduacao-com-ingresso-em-2023/,13/03/2023,"Processo Seletivo para as Vagas Não Ocupadas dos Cursos Superiores de Graduação, com […]"
EDITAL Nº 08/2023 – GAB/ARAQ – Escolha do coordenador do curso superior de […],https://editais.ifc.edu.br/2023/03/10/edital-no-08-2023-gab-araq-escolha-do-coordenador-do-curso-superior-de-tecnologia-em-redes-de-computadores-do-instituto-federal-catarinense-campus-araquari/,10/03/2023,Regulamento do processo eleitoral para a escolha do coordenador do curso superior de […]
HOMOLOGAÇÃO Nº 85/2023 – RACI/ARA – Resultados dos pedidos de […],https://editais.ifc.edu.br/2023/03/01/homologacao-no-85-2023-raci-ara-resultados-dos-pedidos-de-aproveitamento-de-estudos-dos-academicos-dos-cursos-de-ensino-superior-e-tecnico-subsequente-do-ifc-campus-araquari-no-1o-semestre-letivo/,01/03/2023,Homologação dos resultados dos pedidos de aproveitamento de estudos dos acadêmicos dos […]
EDITAL Nº 07/2023 – GAB/ARAQ – Seleção de monitores para os Cursos […],https://editais.ifc.edu.br/2023/02/27/edital-no-07-2023-gab-araq-selecao-de-monitores-para-os-cursos-tecnicos-do-ifc-campus-araquari-para-o-ano-de-2023/,27/02/2023,Seleção de monitores para os Cursos Técnicos do IFC Campus Araquari para o ano de […]
EDITAL Nº 06/2023 – GAB/ARAQ – Edital simplificado de seleção de […],https://editais.ifc.edu.br/2023/02/27/edital-no-06-2023-gab-araq-edital-simplificado-de-selecao-de-bolsistas-iniciacao-tecnologica-e-cultura-maker/,27/02/2023,Edital simplificado de seleção de bolsistas - Iniciação Tecnológica e cultura […]
EDITAL Nº 05/2023 – GAB/ARAQ – Processo seletivo simplificado para Oferta […],https://editais.ifc.edu.br/2023/02/24/edital-no-05-2023-gab-araq-processo-seletivo-simplificado-para-oferta-de-vagas-de-bolsista-para-projeto-de-ensino-unidade-de-ensino-aprendizagem-de-confinamento-de-bovinos-de-corte/,24/02/2023,Processo seletivo simplificado para Oferta de vaga(s) de Bolsista para Projeto de Ensino […]
EDITAL Nº 04/2023 – GAB/ARAQ – Seleção interna de Projetos de Ensino na […],https://editais.ifc.edu.br/2023/02/16/edital-no-04-2023-gab-araq-selecao-interna-de-projetos-de-ensino-na-modalidade-de-fluxo-continuo-para-execucao-durante-o-ano-letivo-de-2023-sem-garantia-de-fomento/,16/02/2023,Seleção interna de Projetos de Ensino na modalidade de fluxo contínuo para execução […]
EDITAL N° 03/2023-GAB/ARAQ – Processo seletivo simplificado para oferta de […],https://editais.ifc.edu.br/2023/02/13/edital-n-03-2023-gab-araq-processo-seletivo-simplificado-para-oferta-de-vagas-de-bolsista-para-projeto-de-ensino-historias-em-quadrinhos-e-cultura-ancestral-na-america/,13/02/2023,Processo seletivo simplificado para oferta de vaga(s) de Bolsista para Projeto de Ensino […]
EDITAL N° 02/2023-GAB/ARAQ – Processo seletivo simplificado para oferta de […],https://editais.ifc.edu.br/2023/02/13/edital-n-02-2023-gab-araq-processo-seletivo-simplificado-para-oferta-de-vagas-de-bolsista-e-voluntario-para-projeto-de-ensino-oficina-teorico-pratica-de-vivencia-em-medicina-veterinar/,13/02/2023,Processo seletivo simplificado para oferta de vaga(s) de bolsista e voluntario para projeto […]
EDITAL Nº 01/2023 – GAB/ARAQ – Processo de seleção de projetos de […],https://editais.ifc.edu.br/2023/02/01/edital-no-01-2023-gab-araq-processo-de-selecao-de-projetos-de-monitoria-para-cursos-tecnicos/,01/02/2023,"Seleção de projetos de monitoria para os Cursos Técnicos do Campus Araquari, para […]"
"EDITAL Nº 22/2022 – GAB/ARAQ Seleção interna de projetos de pesquisa, com o […]",https://editais.ifc.edu.br/2022/11/08/edital-no-22-2022-gab-araq-selecao-interna-de-projetos-de-pesquisa-com-o-fim-de-compor-cadastro-reserva-para-apoio-com-bolsas-de-iniciacao-cientifica-para-execucao-em-2023/,08/11/2022,"Seleção interna de projetos de pesquisa, com o fim de compor cadastro reserva, para apoio […]"
EDITAL Nº 18/2022 – GAB/ARAQ Edital de Fluxo Contínuo – Apoio às Ações de […],https://editais.ifc.edu.br/2022/09/16/edital-no-18-2022-gab-araq-edital-de-fluxo-continuo-apoio-as-acoes-de-extensao-para-execucao-em-2023/,16/09/2022,Edital de Fluxo Contínuo – Apoio às Ações de Extensão para execução em […]
"EDITAL Nº 17/2022 – GAB/ARAQ – Edital de seleção de projetos de extensão, […]",https://editais.ifc.edu.br/2022/09/16/edital-no-17-2022-gab-araq-edital-de-selecao-de-projetos-de-extensao-com-fim-de-compor-cadastro-de-reserva-para-apoio-com-bolsa-de-extensao-para-execucao-em-2023/,16/09/2022,"Edital de seleção de projetos de extensão, com fim de compor cadastro de reserva, para […]"
